runs	p_hat	test_accuracy	test_coverage	test_cost	acc_std	cov_std	cost_std
10	0.55	0.6617	0.9932	32.8032	0.0277	0.0078	20.1101
10	0.6	0.7456	0.9591	75.8501	0.0122	0.0203	22.7133
10	0.65	0.7945	0.9191	92.2372	0.0103	0.0221	14.414
10	0.7	0.8306	0.8497	101.4534	0.0089	0.0189	15.2279
10	0.75	0.8578	0.7478	121.8716	0.01	0.0305	23.5526
10	0.8	0.8903	0.6586	133.3612	0.0078	0.0217	20.9653
10	0.85	0.9174	0.5534	145.2238	0.0075	0.0186	19.7524
10	0.9	0.9358	0.43	152.1471	0.0011	0.0164	13.6016
10	0.95	0.9726	0.2637	157.9768	0.0013	0.0126	4.2759
